id,categoria,frase_esperada,transcricao_stt,exact_match,stt_latency_s,audio_duration_s,audio_path
001,tool_bateria,Como está a sua bateria?,como está a sua bateria.,True,1.8617222619941458,2.16,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/001_tool_bateria.wav
002,tool_bateria,Qual é o nível de carga do NAO?,Qual é o nível de carga do NAU?,False,1.4126650980324484,3.3,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/002_tool_bateria.wav
003,tool_bateria,O robô está carregando?,O robô está carregado.,False,1.3662137190112844,2.19,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/003_tool_bateria.wav
004,tool_acender_led,Acenda o LED do peito,Acenda o LED do peito.,True,1.5702160709770396,2.43,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/004_tool_acender_led.wav
005,tool_apagar_led,Apague o LED do peito,Apague o LED do peito.,True,1.693682968034409,3.03,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/005_tool_apagar_led.wav
006,tool_acender_led,Ligue a luz do peito,Ligue a luz do peito.,True,2.4084996129968204,2.73,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/006_tool_acender_led.wav
007,tool_apagar_led,Desligue a luz do peito,Desligue a Luís do peito.,False,1.8256270530400798,2.97,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/007_tool_apagar_led.wav
008,tool_acender_olhos,Acenda os olhos,Acenda os olhos.,True,1.7963176500052214,2.88,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/008_tool_acender_olhos.wav
009,tool_apagar_olhos,Apague os olhos,Apague os olhos.,True,1.4655551469768398,2.73,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/009_tool_apagar_olhos.wav
010,tool_acender_olhos,Ligue as luzes dos olhos,Ligue as luzes dos olhos.,True,1.771520263981074,3.15,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/010_tool_acender_olhos.wav
011,tool_apagar_olhos,Desligue as luzes dos olhos,Desligue as luzes dos olhos.,True,1.6715554620022886,3.27,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/011_tool_apagar_olhos.wav
012,tool_cabeca_esquerda,Mova a cabeça para a esquerda,MOVA A Cabeça para a esquerda,True,1.6765510439872742,3.24,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/012_tool_cabeca_esquerda.wav
013,tool_cabeca_direita,Mova a cabeça para a direita,MOVA A CABEÇA PARA DIREITA,False,1.882825318025425,3.24,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/013_tool_cabeca_direita.wav
014,tool_centralizar_cabeca,Centralize a cabeça,Centralize a cabeça.,True,1.5485034420271404,2.79,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/014_tool_centralizar_cabeca.wav
015,tool_cabeca_esquerda,Vire a cabeça para a esquerda,Vire a cabeça para a esquerda.,True,2.115072095999494,2.7,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/015_tool_cabeca_esquerda.wav
016,tool_cabeca_direita,Olhe para a direita,Olhe para direito.,False,1.8544341250089929,2.76,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/016_tool_cabeca_direita.wav
017,tool_centralizar_cabeca,Volte a cabeça para o centro,Volte a cabeça para o centro.,True,2.164877362025436,2.88,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/017_tool_centralizar_cabeca.wav
018,tool_composta_luzes,Acenda o LED do peito e os olhos,Acenda o LED do peito e dos olhos.,False,2.0369280430022627,3.57,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/018_tool_composta_luzes.wav
019,tool_composta_luzes,Apague o LED do peito e os olhos,Apague o LED do peito e dos olhos.,False,2.0887370579876006,3.12,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/019_tool_composta_luzes.wav
020,tool_composta_cabeca,Mova a cabeça para a esquerda e depois centralize,Move a cabeça para a esquerda e depois centralize.,False,1.9718474090332165,3.27,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/020_tool_composta_cabeca.wav
021,tool_composta_cabeca,Mova a cabeça para a direita e depois centralize,Mova a cabeça para a direita e depois centralize.,True,1.6501850299537182,4.23,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/021_tool_composta_cabeca.wav
022,tool_variacao_led,Ative a luz do peito,Ative a luz do peito.,True,1.5920442159986123,2.37,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/022_tool_variacao_led.wav
023,tool_variacao_bateria,Me diga a carga da bateria,Me diga a carga da bateria.,True,2.0027339949738234,2.4,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/023_tool_variacao_bateria.wav
024,tool_variacao_cabeca,Centralize sua cabeça agora,Centralize sua cabeça agora.,True,2.522109957993962,3.12,/home/danilo/Faculdade/TCC/code/voice_assistant/dataset_teste/audio/024_tool_variacao_cabeca.wav
